",""nwspol"",""polintr"",""vote"",""yrbrn"",""trstlgl"",""trstplc"",""trstplt"",""trstprt"",""trstep"""
"928,60,""Quite interested"",""Yes"",1960,""8"",""9"",""6"",""6"",""5"""
"929,30,""Hardly interested"",""No"",1959,""8"",""7"",""7"",""6"",""5"""
"930,40,""Quite interested"",""Yes"",1960,""8"",""6"",""7"",""7"",""4"""
"931,120,""Hardly interested"",""Yes"",1977,""8"",""8"",""3"",""5"",NA"
"932,3,""Hardly interested"",""Not eligible to vote"",2000,""7"",""8"",""5"",""5"",""7"""
"933,30,""Quite interested"",""Yes"",1972,""Complete trust"",""Complete trust"",""8"",""7"",""Complete trust"""
"934,90,""Quite interested"",""Yes"",1952,""Complete trust"",""9"",""6"",""8"",""8"""
"935,120,""Hardly interested"",""No"",1982,""6"",""7"",""3"",""2"",""No trust at all"""
"936,120,""Very interested"",""No"",1977,""Complete trust"",""Complete trust"",""8"",""8"",""Complete trust"""
"937,140,""Very interested"",""Yes"",1953,""Complete trust"",""Complete trust"",""4"",""5"",""7"""
"938,330,""Quite interested"",""Yes"",1953,""9"",""8"",""5"",""5"",""5"""
"939,120,""Very interested"",""Yes"",1952,""7"",""7"",""2"",""4"",""3"""
"940,60,""Hardly interested"",""Yes"",1987,""6"",""5"",""6"",""6"",""6"""
"941,90,""Hardly interested"",""Not eligible to vote"",2002,""Complete trust"",""8"",""7"",""7"",""9"""
"942,15,""Quite interested"",""Yes"",1968,""5"",""5"",""1"",""3"",""No trust at all"""
"943,45,""Quite interested"",""Yes"",1972,""7"",""7"",""6"",""5"",""5"""
"944,60,""Quite interested"",""Yes"",1967,""7"",""6"",""5"",""5"",""5"""
"945,NA,""Quite interested"",""Yes"",1970,""7"",""4"",""No trust at all"",""4"",""2"""
"946,30,""Hardly interested"",""Yes"",1976,""8"",""9"",""6"",""6"",""5"""
"947,NA,""Hardly interested"",""Yes"",1964,""6"",""Complete trust"",""5"",""7"",NA"
"948,120,""Quite interested"",""Yes"",1994,""5"",""4"",""3"",""3"",""5"""
"949,30,""Quite interested"",""Yes"",1998,""8"",""9"",""6"",""4"",""9"""
"950,120,""Quite interested"",""Yes"",1928,""8"",""8"",""2"",""2"",""5"""
"951,120,""Hardly interested"",""Yes"",1937,""3"",""2"",""2"",""5"",""3"""
"952,60,""Quite interested"",""Yes"",1946,""7"",""8"",""8"",""7"",""7"""
"953,15,""Very interested"",""Yes"",1992,""9"",""8"",""6"",""6"",""7"""
"954,210,""Quite interested"",""Yes"",1932,""7"",""7"",""5"",""5"",""4"""
"955,150,""Quite interested"",""Yes"",1938,""7"",""8"",""6"",""3"",""No trust at all"""
"956,45,""Quite interested"",""Yes"",1965,""8"",""Complete trust"",""5"",""5"",""5"""
"957,30,""Hardly interested"",""Yes"",1961,""8"",""8"",""5"",""5"",""5"""
"958,120,""Quite interested"",""Yes"",1952,""Complete trust"",""Complete trust"",""7"",""7"",""Complete trust"""
"959,150,""Hardly interested"",""Yes"",1992,""9"",""Complete trust"",""5"",NA,NA"
"960,150,""Quite interested"",""Yes"",1964,""4"",""6"",""4"",""4"",""2"""
"961,270,""Very interested"",""Yes"",1946,""6"",""9"",""8"",""8"",""5"""
"962,120,""Hardly interested"",""Yes"",1939,""8"",""Complete trust"",""6"",""9"",""6"""
"963,60,""Quite interested"",""Yes"",1962,""5"",""4"",""6"",""6"",NA"
"964,120,""Hardly interested"",""Yes"",1963,""6"",""7"",""5"",""5"",NA"
"965,120,""Quite interested"",""Yes"",1947,""Complete trust"",""Complete trust"",""6"",""6"",""7"""
"966,120,""Hardly interested"",""Yes"",1943,""6"",""5"",""3"",""4"",""5"""
"967,240,""Quite interested"",""Yes"",1947,""5"",""5"",""5"",""5"",""5"""
"968,60,""Hardly interested"",""Yes"",1944,""7"",""6"",""6"",""6"",""7"""
"969,120,""Quite interested"",""Yes"",NA,""9"",""9"",""6"",""3"",""5"""
"970,60,""Quite interested"",""Yes"",1978,""6"",""6"",""3"",""3"",""2"""
"971,10,""Hardly interested"",""Yes"",1952,""5"",""Complete trust"",""2"",""2"",""2"""
"972,600,""Hardly interested"",""No"",1961,""8"",""8"",""2"",""2"",""7"""
"973,150,""Very interested"",""Yes"",1938,""5"",""8"",""8"",""8"",""5"""
"974,60,""Quite interested"",""Yes"",1953,""7"",""7"",""7"",""8"",""7"""
"975,240,""Quite interested"",""Yes"",1941,""5"",""5"",""4"",""6"",""3"""
"976,30,""Hardly interested"",""Yes"",1981,""9"",""Complete trust"",""7"",""7"",""8"""
"977,30,""Hardly interested"",""Not eligible to vote"",2003,NA,""8"",NA,NA,NA"
"978,60,""Hardly interested"",""Yes"",1968,""7"",""8"",""5"",""5"",NA"
"979,120,""Very interested"",""Yes"",1950,""7"",""5"",""8"",""8"",""7"""
"980,790,""Quite interested"",""Yes"",1997,""7"",""8"",""4"",""5"",""5"""
"981,60,""Quite interested"",""Yes"",1968,""9"",""9"",""6"",""4"",NA"
"982,180,""Hardly interested"",""Yes"",1982,""7"",""7"",""5"",""5"",""5"""
"983,90,""Very interested"",""Yes"",1992,""8"",""9"",""7"",""6"",""5"""
"984,180,""Quite interested"",""Yes"",1943,""9"",""9"",""4"",""5"",""3"""
"985,10,""Hardly interested"",""Yes"",1965,""5"",""5"",""3"",""3"",""3"""
"986,678,""Quite interested"",""Yes"",1978,""9"",""Complete trust"",""8"",""8"",""8"""
"987,60,""Hardly interested"",""Yes"",1967,""7"",""7"",""5"",""5"",""5"""
"988,90,""Quite interested"",""Yes"",1954,""9"",""8"",""5"",""5"",""4"""
"989,30,""Hardly interested"",""Yes"",1976,""Complete trust"",""Complete trust"",""6"",""4"",""5"""
"990,90,""Quite interested"",""Yes"",1965,""6"",""6"",""7"",""7"",""7"""
"991,62,""Very interested"",""Yes"",1972,""8"",""8"",""3"",""4"",NA"
"992,120,""Hardly interested"",""Yes"",1953,""8"",""Complete trust"",""7"",""5"",""8"""
"993,50,""Hardly interested"",""Yes"",1992,""8"",""8"",""7"",""7"",""8"""
"994,60,""Hardly interested"",""Yes"",1954,""8"",""6"",""6"",""5"",""4"""
"995,120,""Quite interested"",""Yes"",1958,""9"",""9"",""9"",""9"",""9"""
"996,60,""Quite interested"",""Yes"",1958,""Complete trust"",""Complete trust"",""6"",""6"",""7"""
"997,90,""Very interested"",""Yes"",1986,""8"",""8"",""6"",""7"",""7"""
"998,15,""Hardly interested"",""Yes"",1943,""9"",""8"",""5"",""5"",""7"""
"999,20,""Very interested"",""Not eligible to vote"",1977,""9"",""Complete trust"",""9"",""9"",""5"""
"1000,NA,""Hardly interested"",""No"",1969,""8"",""9"",""5"",""4"",NA"
"1001,60,""Hardly interested"",""Yes"",1979,""8"",""8"",""6"",""6"",""7"""
"1002,60,""Hardly interested"",""Yes"",1983,""Complete trust"",""Complete trust"",""9"",""9"",NA"
"1003,60,""Hardly interested"",""No"",1980,""7"",""7"",""3"",""4"",""5"""
"1004,480,""Quite interested"",""Yes"",1969,""8"",""8"",""5"",""5"",""5"""
"1005,888,""Quite interested"",""No"",2002,""8"",""6"",""6"",""6"",""7"""
"1006,180,""Very interested"",""Yes"",1960,""8"",""8"",""4"",""4"",""4"""
"1007,120,""Hardly interested"",""Yes"",1959,""9"",""9"",""4"",""5"",""2"""
"1008,60,""Not at all interested"",""Yes"",1981,""6"",""6"",""4"",""4"",""4"""
"1009,60,""Quite interested"",""Yes"",1978,""9"",""9"",""6"",""6"",""6"""
"1010,60,""Very interested"",""Yes"",1969,""9"",""9"",""7"",""7"",""7"""
"1011,120,""Very interested"",""Yes"",1946,""6"",""6"",""5"",""4"",""5"""
"1012,20,""Quite interested"",""Yes"",1981,""5"",""5"",""4"",""6"",""5"""
"1013,120,""Very interested"",""Yes"",1960,""9"",""8"",""6"",""6"",""6"""
"1014,606,""Quite interested"",""Yes"",1993,""9"",""9"",""4"",""4"",""5"""
"1015,60,""Not at all interested"",""Not eligible to vote"",2002,NA,""Complete trust"",NA,NA,NA"
"1016,60,""Not at all interested"",""No"",1971,""6"",""5"",""3"",""2"",NA"
"1017,390,""Very interested"",""Yes"",NA,""6"",""2"",NA,""5"",""1"""
"1018,90,""Very interested"",""No"",1970,""9"",""7"",""6"",""6"",""6"""
"1019,60,""Hardly interested"",""Yes"",1987,""7"",""9"",""5"",""4"",""7"""
"1020,60,""Hardly interested"",""Yes"",1987,""9"",""8"",""8"",""8"",""9"""
"1021,90,""Quite interested"",""Yes"",1986,""8"",""9"",""5"",""7"",""8"""
"1022,150,""Hardly interested"",""Yes"",1989,""7"",""9"",""6"",""7"",""5"""
"1023,120,""Hardly interested"",""Yes"",1937,""8"",""Complete trust"",""3"",""5"",""3"""
"1024,60,""Hardly interested"",""Yes"",1965,""8"",""8"",""6"",""6"",""7"""
"1025,90,NA,""No"",1997,""4"",""4"",""5"",""4"",NA"
"1026,180,""Very interested"",""Not eligible to vote"",1953,""7"",""6"",""5"",""6"",""4"""
"1027,240,""Quite interested"",""Yes"",1947,""9"",""8"",""8"",""8"",""6"""
"1028,15,""Hardly interested"",""Yes"",1979,""8"",""7"",""4"",""4"",""4"""
"1029,50,""Quite interested"",""Yes"",1953,""8"",""Complete trust"",""5"",""5"",""4"""
"1030,60,""Quite interested"",""Yes"",1980,""9"",""9"",""7"",""7"",""8"""
"1031,60,""Quite interested"",""Yes"",1945,""7"",""7"",""7"",""7"",""7"""
"1032,120,""Very interested"",""Yes"",1956,""Complete trust"",""Complete trust"",""8"",""8"",""8"""
"1033,90,""Hardly interested"",""Not eligible to vote"",2002,""9"",""Complete trust"",""8"",""9"",""8"""
"1034,60,""Hardly interested"",""Yes"",1977,""7"",""9"",""5"",""5"",NA"
"1035,120,""Quite interested"",""Yes"",1993,""9"",""8"",""5"",""5"",""8"""
"1036,30,""Hardly interested"",""Yes"",1983,""9"",""8"",""6"",""7"",NA"
"1037,731,""Hardly interested"",""Yes"",1976,""Complete trust"",""8"",""Complete trust"",""8"",""8"""
"1038,60,""Very interested"",""No"",1982,""6"",""6"",""No trust at all"",""No trust at all"",""No trust at all"""
"1039,120,""Very interested"",""Yes"",1962,""9"",""8"",""4"",""4"",""4"""
"1040,30,""Quite interested"",""Yes"",1971,""Complete trust"",""Complete trust"",""7"",""7"",""6"""
"1041,120,""Quite interested"",""Yes"",1957,""8"",""Complete trust"",""8"",""7"",""6"""
"1042,120,""Hardly interested"",""Yes"",1982,""9"",""9"",""7"",""6"",""6"""
"1043,120,""Very interested"",""Yes"",1960,""9"",""9"",""5"",""5"",""5"""
"1044,30,""Hardly interested"",""Yes"",1997,""Complete trust"",""Complete trust"",""5"",""5"",""8"""
"1045,60,""Hardly interested"",""Yes"",1971,""Complete trust"",""8"",""7"",""7"",""5"""
"1046,60,""Quite interested"",""Yes"",1998,""8"",""9"",""6"",""7"",""7"""
"1047,90,""Quite interested"",""Yes"",1988,""9"",""9"",""5"",""5"",""8"""
"1048,120,""Quite interested"",""Yes"",1961,""9"",""8"",""4"",""4"",""5"""
"1049,60,""Very interested"",""Yes"",1969,""9"",""8"",""7"",""8"",""8"""
"1050,150,""Quite interested"",""Yes"",1966,""8"",""7"",""7"",""7"",NA"
"1051,30,""Very interested"",""Yes"",1950,""9"",""7"",""4"",""4"",""3"""
"1052,30,""Hardly interested"",""Yes"",1996,""8"",""9"",""7"",""7"",""7"""
"1053,15,""Not at all interested"",""Yes"",1961,""6"",""4"",""No trust at all"",""No trust at all"",NA"
"1054,90,""Quite interested"",""Yes"",1959,""3"",""5"",""2"",""4"",""5"""
"1055,60,""Quite interested"",""Yes"",1979,""8"",""7"",""6"",""6"",""6"""
"1056,60,""Very interested"",""Not eligible to vote"",2003,""6"",""8"",""6"",""8"",""6"""
"1057,90,""Quite interested"",""Yes"",1937,""8"",""8"",""4"",""4"",""7"""
"1058,15,""Hardly interested"",""Not eligible to vote"",2000,""5"",""7"",""4"",""No trust at all"",NA"
"1059,60,""Quite interested"",""Yes"",1982,""Complete trust"",""8"",""6"",""6"",""7"""
"1060,120,""Quite interested"",""Yes"",1989,""Complete trust"",""Complete trust"",""7"",""9"",""Complete trust"""
"1061,120,""Quite interested"",""Yes"",1943,""8"",""7"",""5"",""5"",NA"
"1062,120,""Hardly interested"",""Yes"",1983,""8"",""6"",""5"",""7"",""7"""
"1063,30,""Hardly interested"",""Yes"",1980,""9"",""Complete trust"",""7"",""7"",""6"""
"1064,150,""Quite interested"",""Yes"",1991,""Complete trust"",""Complete trust"",""2"",""3"",""Complete trust"""
"1065,120,""Very interested"",""Yes"",1997,""7"",""9"",""3"",""3"",NA"
"1066,30,""Hardly interested"",""Yes"",NA,""No trust at all"",""3"",""No trust at all"",""2"",NA"
"1067,180,""Quite interested"",""Yes"",1960,""Complete trust"",""Complete trust"",""7"",""7"",""8"""
"1068,90,""Very interested"",""Yes"",1965,""Complete trust"",""Complete trust"",""8"",""9"",""Complete trust"""
"1069,90,""Quite interested"",""Yes"",1955,""8"",""8"",""6"",""6"",""6"""
"1070,60,""Hardly interested"",""Yes"",1974,""8"",""8"",""4"",""5"",""4"""
"1071,0,""Not at all interested"",""Yes"",1989,""6"",""4"",""1"",""3"",""No trust at all"""
"1072,60,""Quite interested"",""Yes"",1974,""9"",""9"",""7"",""7"",""7"""
"1073,40,""Hardly interested"",""Yes"",1990,""6"",""6"",""4"",""4"",""4"""
"1074,60,""Hardly interested"",""Yes"",1957,""8"",""8"",""7"",""7"",""8"""
"1075,60,""Hardly interested"",""Yes"",1999,""6"",""Complete trust"",""Complete trust"",""9"",NA"
"1076,60,""Very interested"",""Yes"",1967,""9"",""9"",""7"",""5"",""5"""
"1077,120,""Hardly interested"",""Yes"",1968,""9"",""9"",""5"",""4"",""7"""
"1078,60,""Hardly interested"",""Yes"",1945,""Complete trust"",""Complete trust"",""5"",""5"",""No trust at all"""
"1079,90,""Hardly interested"",""Yes"",1955,""9"",""9"",""8"",""9"",""5"""
"1080,810,""Hardly interested"",""No"",1943,""9"",""Complete trust"",""6"",""6"",""No trust at all"""
"1081,120,""Quite interested"",""Yes"",1990,""7"",""6"",""5"",""5"",""4"""
"1082,120,""Hardly interested"",""Yes"",1944,""3"",""6"",""3"",""6"",""No trust at all"""
"1083,120,""Quite interested"",""Yes"",1962,""9"",""9"",""6"",""6"",NA"
"1084,10,""Not at all interested"",""Yes"",1988,""4"",""4"",""4"",""3"",""4"""
"1085,865,""Quite interested"",""No"",1966,""9"",""9"",""7"",""5"",""5"""
"1086,NA,""Quite interested"",""Yes"",1981,""8"",""8"",""8"",""8"",""8"""
"1087,60,""Hardly interested"",""Not eligible to vote"",2002,""Complete trust"",""Complete trust"",""7"",""6"",""9"""
"1088,1072,""Not at all interested"",""No"",1973,""8"",""Complete trust"",""8"",NA,""9"""
"1089,30,""Not at all interested"",""Yes"",1959,""9"",""9"",""7"",""7"",NA"
"1090,45,""Hardly interested"",""Yes"",1948,""7"",""9"",""5"",""5"",NA"
"1091,10,""Hardly interested"",""Yes"",1971,""8"",""6"",""6"",""6"",""7"""
"1092,120,""Quite interested"",""Yes"",1957,""5"",""2"",""4"",""7"",""5"""
"1093,360,""Not at all interested"",""Yes"",1982,""9"",""7"",""No trust at all"",""No trust at all"",""No trust at all"""
"1094,30,""Hardly interested"",""Yes"",1996,""4"",""6"",""4"",""7"",""5"""
"1095,135,""Quite interested"",""Yes"",1956,""9"",""Complete trust"",""9"",""9"",""9"""
"1096,60,""Quite interested"",""Yes"",1955,""8"",""8"",""9"",""8"",""8"""
"1097,60,""Quite interested"",""Yes"",1965,""7"",""7"",""5"",""6"",""5"""
"1098,105,""Very interested"",""Yes"",1949,""Complete trust"",""9"",""6"",""6"",""5"""
"1099,40,""Hardly interested"",""Yes"",1962,""8"",""6"",""6"",""6"",""9"""
"1100,60,""Hardly interested"",""Yes"",NA,""5"",""5"",""5"",""5"",""5"""
"1101,30,""Quite interested"",""Yes"",1968,""9"",""9"",""8"",""8"",""7"""
"1102,120,""Not at all interested"",""Yes"",1979,""8"",""7"",""4"",""4"",""4"""
"1103,105,""Hardly interested"",""Yes"",1956,""7"",""7"",""8"",""6"",""7"""
"1104,90,""Quite interested"",""Yes"",1971,""9"",""9"",""4"",""4"",""3"""
"1105,300,""Quite interested"",""Yes"",1964,""7"",""8"",""5"",""3"",""3"""
"1106,300,""Very interested"",""Yes"",1942,""Complete trust"",""9"",""8"",""8"",""6"""
"1107,15,""Hardly interested"",""Yes"",1984,""7"",""7"",""6"",""5"",""5"""
"1108,120,""Quite interested"",""Yes"",1993,""5"",""6"",""2"",""2"",""5"""
"1109,180,""Not at all interested"",""Not eligible to vote"",2000,""7"",""7"",""5"",""5"",NA"
"1110,60,""Hardly interested"",""Not eligible to vote"",2002,""9"",""7"",""6"",""6"",""8"""
"1111,30,""Very interested"",""Yes"",1948,""9"",""Complete trust"",""8"",""8"",""9"""
"1112,120,""Quite interested"",""Yes"",1972,""2"",""2"",""7"",""8"",""4"""
"1113,666,""Hardly interested"",""Yes"",1979,""8"",""7"",""6"",""7"",""9"""
"1114,60,""Quite interested"",""Yes"",1971,""9"",""8"",""7"",""7"",""6"""
"1115,45,""Hardly interested"",""Yes"",1999,""6"",""7"",""3"",""4"",""4"""
"1116,90,""Quite interested"",""Yes"",1954,""5"",""6"",""5"",""7"",""7"""
"1117,30,""Very interested"",""Yes"",1958,""7"",""5"",""3"",""3"",NA"
"1118,30,""Not at all interested"",""Yes"",1986,""8"",""9"",""5"",""4"",""5"""
"1119,10,""Hardly interested"",""Yes"",1983,""9"",""Complete trust"",""3"",""2"",""6"""
"1120,90,""Quite interested"",""Yes"",1974,""9"",""9"",""7"",""7"",""7"""
"1121,10,""Hardly interested"",""Not eligible to vote"",1988,""9"",""Complete trust"",""9"",""7"",""5"""
"1122,NA,""Hardly interested"",""Yes"",1965,""9"",""8"",""5"",""5"",""2"""
"1123,60,""Very interested"",""Yes"",1983,""8"",""7"",""5"",""6"",""6"""
"1124,60,""Not at all interested"",""Yes"",1978,""8"",""8"",""6"",""6"",""7"""
"1125,75,""Quite interested"",""Yes"",1963,""7"",""7"",""6"",""6"",""4"""
"1126,150,""Quite interested"",""No"",1955,""4"",""4"",""4"",""4"",NA"
"1127,90,""Quite interested"",""Yes"",1961,""6"",""8"",""8"",""7"",""7"""
"1128,150,""Very interested"",""Yes"",1953,""8"",""Complete trust"",""6"",""5"",""8"""
"1129,60,""Quite interested"",""Yes"",1965,""8"",""8"",""3"",""5"",""8"""
"1130,NA,""Hardly interested"",""Yes"",1962,""7"",""8"",""7"",""7"",""6"""
"1131,60,""Hardly interested"",""No"",1980,""7"",""4"",""6"",""7"",""7"""
"1132,60,""Hardly interested"",""Yes"",1968,""9"",""9"",""5"",""5"",""7"""
"1133,30,""Hardly interested"",""Yes"",1994,""Complete trust"",""Complete trust"",""5"",""7"",""8"""
"1134,120,""Very interested"",""Yes"",1976,""4"",""Complete trust"",""3"",""3"",""5"""
"1135,15,""Quite interested"",""Yes"",1984,""6"",""7"",""3"",""3"",""5"""
"1136,60,""Quite interested"",""Yes"",1969,""7"",""8"",""6"",""7"",""7"""
"1137,60,""Quite interested"",""Yes"",1971,""8"",""8"",""5"",""5"",""4"""
"1138,360,""Very interested"",""Yes"",1944,""8"",""Complete trust"",""6"",""6"",""6"""
"1139,15,""Hardly interested"",""No"",1999,""7"",""9"",""6"",""8"",NA"
"1140,60,""Quite interested"",""Yes"",1960,""8"",""7"",""6"",""6"",""8"""
"1141,120,""Quite interested"",""Yes"",1973,""6"",""6"",""3"",""3"",""No trust at all"""
"1142,30,""Hardly interested"",""Yes"",1993,""9"",""9"",""5"",""4"",NA"
"1143,120,""Quite interested"",""Yes"",1962,""4"",""6"",""2"",""5"",NA"
"1144,60,""Not at all interested"",""Yes"",1953,""7"",""Complete trust"",""No trust at all"",""No trust at all"",NA"
"1145,30,""Quite interested"",""No"",1983,NA,""Complete trust"",NA,""Complete trust"",NA"
"1146,60,""Hardly interested"",""Yes"",1962,""8"",""9"",""5"",""5"",""5"""
"1147,30,""Quite interested"",""Yes"",1954,""No trust at all"",""7"",""4"",""4"",""No trust at all"""
"1148,90,""Hardly interested"",""Yes"",1972,""Complete trust"",""Complete trust"",""5"",""6"",""3"""
"1149,10,""Hardly interested"",""Yes"",1990,""7"",""7"",""5"",""5"",""7"""
"1150,60,""Quite interested"",""Yes"",1991,""Complete trust"",""Complete trust"",""6"",""7"",""7"""
"1151,30,""Hardly interested"",""Yes"",1967,""4"",""3"",""No trust at all"",""No trust at all"",""No trust at all"""
"1152,120,""Quite interested"",""Yes"",1945,""8"",""7"",""4"",""6"",""5"""
"1153,5,""Hardly interested"",""Yes"",1974,""7"",""7"",""5"",""5"",NA"
"1154,150,""Quite interested"",""Yes"",1964,""7"",""8"",""5"",""5"",""4"""
"1155,60,""Quite interested"",""Yes"",1974,""9"",""8"",""7"",""7"",""7"""
"1156,60,""Very interested"",""Not eligible to vote"",1979,""9"",""8"",""5"",""5"",""7"""
"1157,120,""Quite interested"",""Yes"",1948,""7"",""7"",""6"",""6"",""7"""
"1158,5,""Hardly interested"",""Not eligible to vote"",1999,""Complete trust"",""Complete trust"",""8"",""8"",NA"
"1159,120,""Quite interested"",""Yes"",1971,""9"",""8"",""7"",""7"",""7"""
"1160,NA,""Hardly interested"",""Yes"",1994,""9"",""7"",""6"",""8"",""8"""
"1161,180,""Quite interested"",""Yes"",1952,NA,""8"",""5"",""5"",NA"
"1162,240,""Hardly interested"",""Yes"",1999,""9"",""Complete trust"",""6"",""7"",""8"""
"1163,45,""Hardly interested"",""No"",NA,""6"",""7"",""7"",""6"",""8"""
"1164,90,""Hardly interested"",""Yes"",1989,""9"",""6"",""6"",""6"",""6"""
"1165,15,""Quite interested"",""Yes"",1989,""8"",""8"",""5"",""5"",""5"""
"1166,30,""Quite interested"",""Yes"",1959,""8"",""8"",""6"",""6"",""6"""
"1167,60,""Quite interested"",""Yes"",1994,""9"",""9"",""6"",""7"",""7"""
"1168,150,""Hardly interested"",""Yes"",1953,""6"",""7"",""5"",""5"",""6"""
"1169,120,""Hardly interested"",""No"",1959,""6"",""8"",""3"",""3"",""4"""
"1170,60,""Quite interested"",""Yes"",1980,""9"",""9"",""6"",""7"",""7"""
"1171,60,""Quite interested"",""Yes"",1953,""9"",""6"",""8"",""7"",""9"""
"1172,30,""Hardly interested"",""Yes"",1969,""7"",""8"",""6"",""6"",NA"
"1173,120,""Quite interested"",""Yes"",1984,""9"",""8"",""6"",""5"",""5"""
"1174,10,""Quite interested"",""Yes"",1958,""6"",""7"",""3"",""3"",""2"""
"1175,25,""Quite interested"",""No"",1965,""8"",""9"",""6"",""6"",""2"""
"1176,60,""Quite interested"",""Not eligible to vote"",1959,""9"",""8"",""8"",""8"",""8"""
"1177,60,""Very interested"",""Yes"",1961,""7"",""8"",""5"",""4"",NA"
"1178,120,""Very interested"",""Yes"",1969,""8"",""9"",""7"",""7"",""6"""
"1179,20,""Quite interested"",""Not eligible to vote"",2002,""7"",""7"",""3"",""2"",NA"
"1180,2,""Not at all interested"",""Yes"",1987,""2"",""8"",""No trust at all"",""No trust at all"",NA"
"1181,120,""Quite interested"",""Yes"",1966,""8"",""7"",""5"",""5"",NA"
"1182,90,""Quite interested"",""Yes"",1950,""Complete trust"",""5"",""5"",""7"",""5"""
"1183,15,""Hardly interested"",""Yes"",1980,""9"",""8"",""5"",""4"",""7"""
"1184,20,""Hardly interested"",""Yes"",1994,""9"",""9"",""6"",""6"",NA"
"1185,60,""Not at all interested"",""No"",1996,""8"",""7"",""6"",""7"",""5"""
"1186,300,""Very interested"",""Yes"",1963,""8"",""8"",""7"",""8"",""6"""
"1187,2,""Hardly interested"",""Yes"",1990,""7"",""7"",""6"",""6"",""5"""
"1188,1016,""Hardly interested"",""Yes"",1955,""7"",""8"",""3"",""3"",NA"
"1189,10,""Not at all interested"",""No"",1989,""8"",""8"",""2"",""2"",NA"
"1190,30,""Hardly interested"",""Not eligible to vote"",2002,""7"",""7"",""7"",""8"",""7"""
"1191,30,""Not at all interested"",""Not eligible to vote"",1974,""9"",""9"",""9"",""9"",""7"""
"1192,60,""Hardly interested"",""Yes"",1949,""7"",""8"",""5"",""6"",""1"""
"1193,790,""Hardly interested"",""Yes"",1970,""1"",""No trust at all"",""No trust at all"",""1"",""1"""
"1194,120,""Quite interested"",""Yes"",1941,""Complete trust"",""9"",""8"",""6"",""6"""
"1195,45,""Quite interested"",""Yes"",1974,""8"",""9"",""6"",""6"",""3"""
"1196,90,""Very interested"",""Yes"",1968,""5"",""Complete trust"",""6"",""5"",""3"""
"1197,180,""Very interested"",""Yes"",1997,""Complete trust"",""4"",""2"",""6"",NA"
"1198,NA,""Hardly interested"",""No"",2000,""7"",""7"",""6"",""6"",""6"""
"1199,120,""Quite interested"",""Yes"",1990,""7"",""8"",""4"",""5"",""8"""
"1200,NA,""Hardly interested"",""No"",1958,""8"",""8"",""2"",""2"",""No trust at all"""
"1201,90,""Quite interested"",""Yes"",1951,""Complete trust"",""9"",""8"",""8"",NA"
"1202,30,""Hardly interested"",""Yes"",1989,""6"",""5"",""5"",""5"",""5"""
"1203,30,""Hardly interested"",""Yes"",1944,""6"",""6"",""1"",""1"",NA"
"1204,120,""Hardly interested"",""Yes"",1972,""9"",""9"",""5"",""4"",""7"""
"1205,60,""Hardly interested"",""Not eligible to vote"",2002,""8"",""8"",""7"",""7"",""6"""
"1206,180,""Quite interested"",""Yes"",1942,""7"",""7"",""7"",""6"",NA"
"1207,120,""Quite interested"",""Yes"",1948,""7"",""9"",""5"",""5"",""5"""
"1208,60,""Very interested"",""Yes"",1979,""8"",""7"",""6"",""7"",NA"
"1209,60,""Hardly interested"",""Yes"",1992,""9"",""Complete trust"",""5"",""5"",""8"""
"1210,300,""Very interested"",""Yes"",1932,""7"",""9"",""9"",""8"",""5"""
"1211,120,""Hardly interested"",""Yes"",1942,""3"",""5"",""3"",""4"",""No trust at all"""
"1212,1090,""Hardly interested"",""Yes"",1986,""9"",""8"",""5"",""5"",NA"
"1213,964,""Quite interested"",""No"",2003,""Complete trust"",""Complete trust"",""5"",""5"",""5"""
"1214,30,""Quite interested"",""Yes"",1969,""8"",""9"",""6"",""5"",""6"""
"1215,20,""Hardly interested"",""Yes"",1968,""8"",""8"",""6"",""5"",""7"""
"1216,60,""Quite interested"",""Yes"",1956,""7"",""8"",""5"",""5"",""4"""
"1217,30,""Quite interested"",""No"",1996,""3"",""7"",""5"",""6"",NA"
"1218,120,""Quite interested"",""Yes"",1951,""7"",""8"",""6"",""6"",""7"""
"1219,180,""Very interested"",""Yes"",1944,""5"",""8"",""5"",""5"",""6"""
"1220,20,""Hardly interested"",""Yes"",1996,""5"",""8"",""4"",""4"",""8"""
"1221,60,""Hardly interested"",""Yes"",1951,""8"",""9"",""7"",""7"",NA"
"1222,20,""Hardly interested"",""Yes"",1992,""8"",""9"",""2"",""1"",""3"""
"1223,75,""Hardly interested"",""Yes"",1975,""8"",""8"",""7"",""7"",""7"""
"1224,0,""Hardly interested"",""Not eligible to vote"",1984,""4"",""6"",""6"",""6"",""4"""
"1225,120,""Quite interested"",""Yes"",1964,""6"",""Complete trust"",""6"",""6"",""6"""
"1226,90,""Quite interested"",""Yes"",1974,""8"",""9"",""8"",""7"",""8"""
"1227,150,""Quite interested"",""Yes"",1944,""5"",""7"",""6"",""6"",NA"
"1228,30,""Hardly interested"",""Yes"",1997,""4"",""Complete trust"",""8"",""8"",""5"""
"1229,30,""Hardly interested"",""Yes"",1976,""9"",""7"",""5"",""7"",""7"""
"1230,60,""Hardly interested"",""No"",1997,""7"",""8"",""4"",""6"",""7"""
"1231,150,""Quite interested"",""Yes"",1945,""9"",""9"",""6"",""6"",""7"""
